Q^2 	 xB 	 F2  	  errF2  	  F1  	  errF1  	  FL  	  errFL
3.75	0.66435	0.0994226	0.00981858 	 0.0808005 	 0.00535405 	 0.0332694 	 0.0119276
3.75	0.65852	0.0970461	0.0107696 	 0.0979787 	 0.00595465 	 0.00752288 	 0.0129681
3.75	0.65279	0.105489	0.0109414 	 0.097919 	 0.00601881 	 0.0198598 	 0.0131509
3.75	0.64716	0.100676	0.0112434 	 0.1042 	 0.00622429 	 0.00540227 	 0.0134349
3.75	0.64162	0.100686	0.0105995 	 0.0997477 	 0.00584445 	 0.0116092 	 0.0126395
3.75	0.63349	0.0992042	0.0103462 	 0.0981266 	 0.00568626 	 0.0122646 	 0.0122891
3.75	0.62297	0.100273	0.0101815 	 0.0977011 	 0.00558407 	 0.015087 	 0.0120242
3.75	0.61279	0.108101	0.0128794 	 0.0960385 	 0.00673843 	 0.0285164 	 0.015339
3.75	0.60293	0.11308	0.0135923 	 0.0988837 	 0.00715512 	 0.0324415 	 0.0160615
3.75	0.59339	0.115452	0.0142226 	 0.108946 	 0.00753645 	 0.0243312 	 0.0166785
3.75	0.58415	0.123696	0.0156731 	 0.110626 	 0.00843649 	 0.0340871 	 0.0181974
3.75	0.57519	0.123683	0.0161527 	 0.118733 	 0.00871548 	 0.0255197 	 0.0186463
3.75	0.5665	0.120045	0.0162401 	 0.134698 	 0.0087488 	 0.00360846 	 0.0186654
3.75	0.55807	0.122742	0.0166022 	 0.136692 	 0.008961 	 0.00607195 	 0.0189841
