F2 deuterium data from Simona Malace
JLab experiment E00106
PhD thesis, Hampton University, December 2006
                                                                                
= 0.0000   normalisation factor

     x         Q^2         F2d          i        stat        syst       dummy      dummy    
  0.7035      5.6655      0.0736     143.00     0.0015      0.0019     1.0000      1.0000   
  0.7122      5.7197      0.0694     144.00     0.0015      0.0018     1.0000      1.0000   
  0.7209      5.7739      0.0678     145.00     0.0014      0.0017     1.0000      1.0000   
  0.7296      5.8281      0.0629     146.00     0.0013      0.0016     1.0000      1.0000   
  0.7302      5.8317      0.0658     147.00     0.0008      0.0017     1.0000      1.0000   
  0.7404      5.8948      0.0594     148.00     0.0007      0.0015     1.0000      1.0000   
  0.7507      5.9578      0.0541     149.00     0.0007      0.0014     1.0000      1.0000   
  0.7611      6.0209      0.0506     150.00     0.0006      0.0013     1.0000      1.0000   
  0.7715      6.0839      0.0450     151.00     0.0006      0.0011     1.0000      1.0000   
  0.7820      6.1469      0.0403     152.00     0.0006      0.0010     1.0000      1.0000   
  0.7926      6.2100      0.0365     153.00     0.0005      0.0009     1.0000      1.0000   
  0.8032      6.2730      0.0316     154.00     0.0005      0.0008     1.0000      1.0000   
  0.8139      6.3361      0.0295     155.00     0.0005      0.0008     1.0000      1.0000   
  0.8223      6.3849      0.0298     156.00     0.0005      0.0008     1.0000      1.0000   
  0.8247      6.3991      0.0276     157.00     0.0005      0.0007     1.0000      1.0000   
  0.8341      6.4540      0.0263     158.00     0.0005      0.0007     1.0000      1.0000   
  0.8355      6.4622      0.0244     159.00     0.0005      0.0006     1.0000      1.0000   
  0.8461      6.5230      0.0219     160.00     0.0005      0.0006     1.0000      1.0000   
  0.8465      6.5252      0.0215     161.00     0.0004      0.0006     1.0000      1.0000   
  0.8574      6.5883      0.0196     162.00     0.0004      0.0005     1.0000      1.0000   
  0.8581      6.5920      0.0196     163.00     0.0004      0.0005     1.0000      1.0000   
  0.8685      6.6513      0.0163     164.00     0.0004      0.0004     1.0000      1.0000   
  0.8702      6.6610      0.0169     165.00     0.0004      0.0004     1.0000      1.0000   
  0.8796      6.7144      0.0142     166.00     0.0004      0.0004     1.0000      1.0000   
  0.8824      6.7301      0.0141     167.00     0.0004      0.0004     1.0000      1.0000   
  0.8908      6.7774      0.0122     168.00     0.0003      0.0003     1.0000      1.0000   
  0.8947      6.7991      0.0123     169.00     0.0003      0.0003     1.0000      1.0000   
  0.9071      6.8681      0.0105     170.00     0.0003      0.0003     1.0000      1.0000   
  0.9196      6.9371      0.0090     171.00     0.0003      0.0003     1.0000      1.0000   
  0.9321      7.0062      0.0089     172.00     0.0003      0.0003     1.0000      1.0000   
  0.9448      7.0752      0.0072     173.00     0.0003      0.0003     1.0000      1.0000   
  0.9575      7.1442      0.0039     174.00     0.0003      0.0002     1.0000      1.0000   
  0.5156      4.5251      0.2595     175.00     0.0064      0.0066     1.0000      1.0000   
  0.5222      4.5740      0.2312     176.00     0.0061      0.0059     1.0000      1.0000   
  0.5288      4.6229      0.2375     177.00     0.0060      0.0060     1.0000      1.0000   
  0.5354      4.6718      0.2225     178.00     0.0058      0.0057     1.0000      1.0000   
  0.5420      4.7208      0.2055     179.00     0.0055      0.0052     1.0000      1.0000   
  0.5487      4.7697      0.2091     180.00     0.0055      0.0053     1.0000      1.0000   
  0.5554      4.8186      0.2011     181.00     0.0055      0.0051     1.0000      1.0000   
  0.5621      4.8675      0.1915     182.00     0.0052      0.0049     1.0000      1.0000   
  0.5689      4.9164      0.1892     183.00     0.0051      0.0048     1.0000      1.0000   
  0.5756      4.9654      0.1733     184.00     0.0050      0.0044     1.0000      1.0000   
  0.5824      5.0143      0.1573     185.00     0.0047      0.0040     1.0000      1.0000   
  0.5893      5.0632      0.1611     186.00     0.0048      0.0041     1.0000      1.0000   
  0.5961      5.1121      0.1547     187.00     0.0047      0.0039     1.0000      1.0000   
  0.6030      5.1610      0.1524     188.00     0.0047      0.0039     1.0000      1.0000   
  0.6099      5.2100      0.1463     189.00     0.0045      0.0037     1.0000      1.0000   
  0.6168      5.2589      0.1419     190.00     0.0044      0.0036     1.0000      1.0000   
  0.6173      5.2622      0.1402     191.00     0.0026      0.0036     1.0000      1.0000   
  0.6254      5.3190      0.1306     192.00     0.0025      0.0033     1.0000      1.0000   
  0.6335      5.3759      0.1250     193.00     0.0024      0.0032     1.0000      1.0000   
  0.6417      5.4328      0.1159     194.00     0.0023      0.0030     1.0000      1.0000   
  0.6499      5.4897      0.1089     195.00     0.0022      0.0028     1.0000      1.0000   
  0.6582      5.5466      0.1017     196.00     0.0021      0.0026     1.0000      1.0000   
  0.6665      5.6035      0.0979     197.00     0.0021      0.0025     1.0000      1.0000   
  0.6748      5.6604      0.0873     198.00     0.0020      0.0022     1.0000      1.0000   
  0.6831      5.7173      0.0810     199.00     0.0019      0.0021     1.0000      1.0000   
  0.6915      5.7741      0.0812     200.00     0.0019      0.0021     1.0000      1.0000   
  0.7000      5.8310      0.0753     201.00     0.0018      0.0019     1.0000      1.0000   
  0.7085      5.8879      0.0702     202.00     0.0018      0.0018     1.0000      1.0000   
  0.7170      5.9448      0.0690     203.00     0.0017      0.0018     1.0000      1.0000   
  0.7256      6.0017      0.0667     204.00     0.0018      0.0017     1.0000      1.0000   
  0.7342      6.0586      0.0593     205.00     0.0016      0.0015     1.0000      1.0000   
  0.7356      6.0684      0.0607     206.00     0.0008      0.0015     1.0000      1.0000   
  0.7428      6.1155      0.0567     207.00     0.0016      0.0014     1.0000      1.0000   
  0.7456      6.1340      0.0577     208.00     0.0008      0.0015     1.0000      1.0000   
  0.7556      6.1996      0.0516     209.00     0.0007      0.0013     1.0000      1.0000   
  0.7657      6.2652      0.0472     210.00     0.0007      0.0012     1.0000      1.0000   
  0.7759      6.3308      0.0434     211.00     0.0006      0.0011     1.0000      1.0000   
  0.7861      6.3964      0.0391     212.00     0.0006      0.0010     1.0000      1.0000   
  0.7963      6.4620      0.0351     213.00     0.0006      0.0009     1.0000      1.0000   
  0.8066      6.5276      0.0321     214.00     0.0006      0.0008     1.0000      1.0000   
  0.8170      6.5932      0.0290     215.00     0.0005      0.0007     1.0000      1.0000   
  0.8274      6.6588      0.0273     216.00     0.0005      0.0007     1.0000      1.0000   
  0.8282      6.6636      0.0267     217.00     0.0005      0.0007     1.0000      1.0000   
  0.8379      6.7244      0.0239     218.00     0.0005      0.0006     1.0000      1.0000   
  0.8398      6.7356      0.0241     219.00     0.0005      0.0006     1.0000      1.0000   
  0.8485      6.7900      0.0202     220.00     0.0005      0.0005     1.0000      1.0000   
  0.8513      6.8077      0.0199     221.00     0.0004      0.0005     1.0000      1.0000   
  0.8591      6.8556      0.0180     222.00     0.0005      0.0005     1.0000      1.0000   
  0.8630      6.8797      0.0180     223.00     0.0004      0.0005     1.0000      1.0000   
  0.8697      6.9212      0.0161     224.00     0.0004      0.0004     1.0000      1.0000   
  0.8748      6.9518      0.0149     225.00     0.0003      0.0004     1.0000      1.0000   
  0.8804      6.9868      0.0142     226.00     0.0004      0.0004     1.0000      1.0000   
  0.8866      7.0238      0.0124     227.00     0.0003      0.0003     1.0000      1.0000   
  0.8912      7.0524      0.0125     228.00     0.0003      0.0003     1.0000      1.0000   
  0.8984      7.0958      0.0110     229.00     0.0003      0.0003     1.0000      1.0000   
  0.9104      7.1679      0.0093     230.00     0.0003      0.0003     1.0000      1.0000   
  0.9224      7.2399      0.0070     231.00     0.0003      0.0002     1.0000      1.0000   
  0.9345      7.3120      0.0087     232.00     0.0003      0.0003     1.0000      1.0000   
  0.9467      7.3840      0.0083     233.00     0.0003      0.0003     1.0000      1.0000   
  0.6032      5.3830      0.1477     234.00     0.0041      0.0038     1.0000      1.0000   
