"SUPPLEMENTAL MATERIAL FOR PRC ARTICLE ""MEASUREMENT OF THE NEARLY FREE NEUTRON STRUCTURE FUNCTION USING SPECTATOR TAGGING IN INELASTIC 2H(E,E'PS)X SCATTERING WITH CLAS"" BY S. TKACHENKO ET AL."								
								
*****     Ratio EXP/SIMULATION vs. cos(theta_pq) for 4 GeV beam energy and 3 bins in Q2 times 5 bins in W* times 4 bins in p_s  (see Fig. 12)   *****								
								
Q2	0.93	"GeV/c,"	W	1.17	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	0.9	1.036	0.031	0.12				
								
Q2	1.66	"GeV/c,"	W	2.44	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	0.82	0.059	0.097				
	-0.7	1.172	0.048	0.135				
	-0.5	1.002	0.037	0.115				
	-0.3	0.887	0.032	0.102				
	-0.1	0.826	0.027	0.095				
	0.1	0.865	0.026	0.099				
	0.3	0.954	0.026	0.11				
	0.5	1.086	0.026	0.125				
	0.7	1.254	0.026	0.144				
	0.9	1.166	0.032	0.135				
								
Q2	1.66	"GeV/c,"	W	2.44	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.228	0.126	0.154				
	-0.7	0.917	0.066	0.108				
	-0.5	0.92	0.053	0.107				
	-0.3	0.849	0.043	0.098				
	-0.1	0.845	0.037	0.098				
	0.1	0.854	0.033	0.099				
	0.3	0.863	0.031	0.1				
	0.5	1.035	0.03	0.12				
	0.7	1.244	0.032	0.144				
	0.9	1.35	0.04	0.157				
								
Q2	3.38	"GeV/c,"	W	1.17	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.424	0.284	0.297				
	-0.7	1.163	0.172	0.212				
	-0.5	1.569	0.169	0.279				
	-0.3	1.346	0.153	0.24				
	-0.1	1.165	0.124	0.185				
	0.1	1.244	0.136	0.206				
	0.3	1.363	0.132	0.222				
	0.5	1.696	0.18	0.288				
	0.7	1.575	0.169	0.252				
	0.9	1.723	0.225	0.313				
								
Q2	3.38	"GeV/c,"	W	1.17	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.372	0.179	0.255				
	-0.7	1.592	0.169	0.27				
	-0.5	1.252	0.16	0.221				
	-0.3	1.12	0.146	0.19				
	-0.1	0.923	0.13	0.161				
	0.1	1.341	0.135	0.213				
	0.3	1.12	0.136	0.181				
	0.5	1.34	0.137	0.209				
	0.7	1.373	0.151	0.222				
	0.9	1.311	0.149	0.215				
								
Q2	3.38	"GeV/c,"	W	1.17	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.803	0.223	0.325				
	-0.7	1.808	0.2	0.322				
	-0.5	1.968	0.205	0.345				
	-0.3	1.097	0.174	0.185				
	-0.1	1.596	0.178	0.277				
	0.1	0.894	0.136	0.149				
